Date,Issuer,Symbol,Lead/Joint-Lead Managers,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng,$ Chg Opening,$ Chg Close,Star Ratings,Performed,$ Chg Open to Close,% Chg Open to Close,SP Week Change,SP Close to Open Chg Pct,Lead Mgr,Total Underwriters,Week Day,Month,Gap Open Pct,Open to Close Pct
2002-04-29,Premcor ,PCO,Morgan Stanley/Credit Suisse First Boston,24.0,27.75,28.25,17.71,3.75,4.25,3,,0.5,1.8018018018018016,-4.133677271181446,0.0,Morgan Stanley,2,Mon,Apr,13.513513513513514,1.8018018018018018
2002-05-03,LIN TV ,TVL,Deutsche Bank Securities,22.0,23.0,25.0,13.64,1.0,3.0,3,,2.0,8.695652173913043,-1.733265955352236,0.0,Deutsche Bank,1,Fri,May,4.3478260869565215,8.695652173913043
2002-05-07,Quinton Cardiology Systems ,QUIN,Adams Harkness,7.0,7.5,7.19,2.71,0.5,0.19,1,,-0.31,-4.133333333333333,-4.524058118290464,0.0,Adams Harkness,1,Tues,May,6.666666666666667,-4.133333333333333
2002-05-09,Regal Entertainment Group ,RGC,CS First Boston/Lehman Brothers,19.0,22.0,21.75,14.47,3.0,2.75,2,,-0.25,-1.1363636363636365,-3.305298230559481,0.0,CSFB,2,Thurs,May,13.636363636363635,-1.1363636363636365
2002-05-16,Verint Systems ,VRNT,Lehman Brothers,16.0,16.1,14.49,-9.44,0.1,-1.51,2,Missed,-1.61,-10.0,-0.18936906266301815,0.0,Lehman Brothers,1,Thurs,May,0.6211180124223602,-10.0
2002-05-16,Dickie Walker Marine ,DWMA,Schneider Securities,5.0,5.26,5.32,6.4,0.26,0.32,1,,0.06,1.1406844106463878,-0.18936906266301815,0.0,Schneider Securities,1,Thurs,May,4.942965779467682,1.1406844106463878
2002-05-16,Aeropostale ,ARO,Bear Stearns/Merrill Lynch,18.0,24.9,27.75,54.17,6.9,9.75,3,,2.85,11.445783132530119,-0.18936906266301815,0.0,Bear Stearns,2,Thurs,May,27.710843373493976,11.44578313253012
2002-05-17,Kyphon ,KYPH,US Bancorp Piper Jaffray,15.0,18.31,17.05,13.67,3.31,2.05,2,,-1.2600000000000002,-6.881485527034409,0.6184263682051226,0.0,Piper Jaffray,1,Fri,May,18.077553249590387,-6.881485527034409
2002-05-21,MarkWest Energy Partners ,MWE,AG Edwards/RBC Capital,20.5,21.5,20.55,0.24,1.0,0.05,2,,-0.95,-4.418604651162791,2.4806471646268746,0.0,AG Edwards,2,Tues,May,4.651162790697675,-4.4186046511627906
2002-05-21,Computer Programs and Systems,CPSI,Morgan Keegan/Raymond James,16.5,17.5,18.12,9.82,1.0,1.62,2,,0.6200000000000001,3.542857142857144,2.4806471646268746,0.0,Morgan Keegan,2,Tues,May,5.714285714285714,3.5428571428571436
2002-05-22,Liquidmetals Technologies ,LQMT,Merrill Lynch,15.0,15.01,15.03,0.2,0.01,0.03,2,Missed,0.02,0.13324450366422386,0.2748542954967993,0.0,Merrill Lynch,1,Wed,May,0.06662225183211193,0.13324450366422383
2002-05-23,Altiris ,ATRS,CS First Boston,10.0,9.0,8.87,-11.3,-1.0,-1.13,2,Missed,-0.1299999999999999,-1.4444444444444433,-0.04049307068758973,0.0,CSFB,1,Thurs,May,-11.11111111111111,-1.4444444444444433
2002-05-23,Eon Labs ,ELAB,CS First Boston/Goldman Sachs,15.0,15.01,15.05,0.33,0.01,0.05,3,Missed,0.04,0.2664890073284477,-0.04049307068758973,0.0,CSFB,2,Thurs,May,0.06662225183211193,0.2664890073284477
